Crisis Pregnancy Center,Street Address,City,State,Zip,Affiliation,Website,Advertises APR?,Facebook,Twitter,Google+,YouTube,Pinterest,Instagram,LinkedIn
LIFELINE OF SOUTHWESTERN PENNSYLVANIA - BUTLER,422 North Main Street,Butler,PA,16001,,http://www.lifelineofsouthwestpa.org/,,,,,,,,
MY CHOICE MEDICAL CLINIC - BUTLER,118 South Church Street,Butler,PA,16001,Heartbeat International,http://www.yourlifechoicesnow.com/,Yes,,,,,,,
CAPITAL AREA PREGNANCY CENTERS/LIFE CHOICES CLINIC,2515 Gettysburg Road,Camp Hill,PA,17011,Care Net,http://www.capc4u.org/,,,,,,,,
ENDLESS MOUNTAINS PREGNANCY CARE CENTER - CANTON,26 West Main Street,Canton,PA,17724,Care Net,http://www.empccfree.com/,,https://www.facebook.com/Endless-Mountains-Pregnancy-Care-Center-174486129238734/,,,,,,
CARLISLE AREA FAMILY LIFE CENTER,155 North Hanover Street,Carlisle,PA,17013,"The National Life Center, Inc.",http://www.carlislefamilylife.org/,,,,,,,,
"PREGNANCY MINISTRIES, INC. - CHAMBERSBURG",338 Lincoln Way E,Chambersburg,PA,17201,Care Net,http://pregnancyministries.org/,,http://pregnancyministries.org/,,,,,,
LIFELINE OF SOUTHWESTERN PENNSYLVANIA - MON VALLEY,210 4th Street,Charleroi,PA,15022,,http://www.lifelineofsouthwestpa.org/,,,,,,,,
DELAWARE COUNTY PREGNANCY CENTER,2508 Edgmont Avenue,Chester,PA,19013,Heartbeat International,http://dcpcchester.org/,Yes,,,,,,,
AAA LIFE SERVICES,140 Greenville Avenue,Clarion,PA,16214,Care Net,http://aaalifeservices.com/,,,,,,,,
BIRTHRIGHT OF COATESVILLE,529 East Lincoln Highway,Coatesville,PA,19320,Birthright International,http://birthright.org/en/landingpage/lp-coatesville,,,,,,,,
CHESTER COUNTY WOMEN'S SERVICES - COATESVILLE,1028 East Lincoln Highway,Coatesville,PA,19320,Heartbeat International,https://ccwsmedical.org/en/,Yes,https://ccwsmedical.org/en/,,,,,,
A BABY'S BREATH - COLLEGEVILLE,78 2nd Avenue,Collegeville,PA,19426,,http://www.ababysbreath.org/,,,,,,,,
SUSQUEHANNA VALLEY PREGNANCY CLINIC - COLUMBIA,501 Walnut Street,Columbia,PA,17512,Care Net,http://www.svpspa.com/,,,,,,,,
CHOICES PREGNANCY SERVICES - CORAOPOLIS,625 5th Avenue,Coraopolis,PA,15108,Care Net,http://www.pregnancychoice.org/,,,,,,,,
LIFE CARE PREGNANCY AND FAMILY RESOURCE CENTER,"127 North Center Street, Suite #2",Corry,PA,16407,Care Net,http://www.lifecareofcorry.com/,,,,,,,,
LIFELINE OF SOUTHWESTERN PENNSYLVANIA - CRANBERRY,"213 Executive Drive, Suite #230",Cranberry,PA,16066,,http://www.lifelineofsouthwestpa.org/,,,,,,,,
AMNION CRISIS PREGNANCY CENTER,2251 Garrett Road,Drexel Hill,PA,19026,Care Net,http://amnionpregnancycenter.com/,,,,,,,,
BRIGHT HOPE PREGNANCY SUPPORT CENTERS - EASTON,2204 Northampton Street,Easton,PA,18042,Care Net,https://brighthopecenters.org/,,,,,,,,
BORO WOMEN'S SERVICES,108 High Street,Edinboro,PA,16412,,http://www.borowomenservices.com/,,,,,,,,
BETHANY CHRISTIAN SERVICES - PHILADELPHIA,7827 Old York Road,Elkins Park,PA,19027,Heartbeat International,https://www.bethany.org/philadelphia,Yes,,,,,,,
SUSQUEHANNA VALLEY PREGNANCY CLINIC - EPHRATA,112 West Main Street,Ephrata,PA,17522,Care Net,http://www.svpspa.com/,,,,,,,,
"WOMEN'S CARE CENTER OF ERIE COUNTY, INC. - DOWNTOWN","915 State Street, Suite #100",Erie,PA,16501,Heartbeat International,http://www.wccerie.org/,Yes,,,,,,,
"WOMEN'S CARE CENTER OF ERIE COUNTY, INC. - MAIN OFFICE AND MEN'S LIFE COACHING","4408 Peach Street, Suite #101",Erie,PA,16509,Heartbeat International,http://www.wccerie.org/,Yes,,,,,,,
"WOMEN'S CARE CENTER OF ERIE COUNTY, INC. - PEACH STREET OFFICE AND MEDICAL SERVICES","4408 Peach Street, Suite #302",Erie,PA,16509,Heartbeat International,http://www.wccerie.org/,Yes,,,,,,,
BIRTHRIGHT OF FRACKVILLE,10 North LeHigh Avenue,Frackville,PA,17931,Birthright International,http://birthright.org/en/landingpage/lp-frackville,,,,,,,,
ABC LIFE CENTER,323 13th Street,Franklin,PA,16323,Heartbeat International,http://www.abclifecenter.com/,Yes,,,,,,,
LIFE LINE PREGNANCY & INFANT SERVICES,881 Germania Road,Frenchville,PA,16836,,http://www.ypwcministries.org/lifeline.htm,,,,,,,,
PREGNANCY RESOURCES AT CORNERSTONE - GAP,5380 Lincoln Highway,Gap,PA,17527,Care Net,https://pregnancypennsylvania.com/,,,,,,,,
TENDER CARE - GETTYSBURG,1844 York Road,Gettysburg,PA,17325,Heartbeat International,https://tendercare.org/,Yes,,,,,,,
"WOMEN'S CARE SERVICES OF ERIE COUNTY, INC. - GIRARD","259 East Main Street, Suite #5",Girard,PA,16417,Heartbeat International,http://www.wccerie.org/,Yes,,,,,,,
"PREGNANCY MINISTRIES, INC. - GREENCASTLE",14 South Carlisle Street,Greencastle,PA,17225,Care Net,http://pregnancyministries.org/,,,,,,,,
BIRTHRIGHT OF GREENSBURG,"121 North Main Street, Suite #100",Greensburg,PA,15601,Birthright International,http://birthright.org/en/landingpage/lp-greensburg,,,,,,,,
GREENVILLE REGIONAL PREGNANCY CENTER,331 Main Street,Greenville,PA,16125,,,,,,,,,,
LIFE'S CHOICES - HAMBURG,326 State Street,Hamburg,PA,19526,Care Net,http://lifeschoicessupport.org/,,,,,,,,
TENDER CARE - HANOVER,300 John Street,Hanover,PA,17331,Heartbeat International,https://tendercare.org/,Yes,,,,,,,
BETHANY CHRISTIAN SERVICES - HARRISBURG,"2101 North Front Street, Suite #201",Harrisburg,PA,17110,Heartbeat International,https://www.bethany.org/harrisburg,Yes,,,,,,,
MORNING STAR PREGNANCY SERVICES - HARRISBURG,3837 Walnut Street,Harrisburg,PA,17109,Heartbeat International,http://www.morningstarchoices.com/Home.aspx,Yes,,,,,,,
CROSSROADS PREGNANCY CENTER - HUNTINGDON,600 Washington Street,Huntingdon,PA,16652,Heartbeat International,http://www.crossroadspcs.org/,Yes,https://www.facebook.com/crossroadspregnancycenter/,,,,,,
LIFE-WAY PREGNANCY CENTER - INDIANA,"1176 Grant Street, Suite 1160",Indiana,PA,15701,Heartbeat International,http://www.decisionsforlife.org/,Yes,,,,,,,
MY CHOICE MEDICAL CLINIC - INDIANA,"1205 Maple Street, Suite A",Indiana,PA,15701,,http://www.yourlifechoicesnow.com/,,,,,,,,
A BABY'S BREATH - JEFFERSONVILLE,2062 West Main Street,Jeffersonville,PA,19403,,http://www.ababysbreath.org/,,,,,,,,
"PRECIOUS LIFE, INC. - CAMBRIA COUNTY",1407 Eisenhower Boulevard,Johnstown,PA,15902,,http://www.plinc.org/index.html,,https://www.facebook.com/home.php?,,,,,,
CHESTER COUNTY WOMEN SERVICES - KENNETT SQUARE,645 East Baltimore Pike,Kennett Square,PA,19348,Heartbeat International,https://ccwsmedical.org/en/,Yes,https://www.facebook.com/ccwsmedical,,,,,,
PATHWAYS PREGNANCY HELP CENTER,"480 Pierce Street, Suite #320",Kingston,PA,18704,Heartbeat International,https://pregnancykingston.com/,Yes,,,,,,,
MY CHOICE MEDICAL CLINIC - KITTANNING,15A Franklin Village Mall,Kittanning,PA,16201,Heartbeat International,http://www.yourlifechoicesnow.com/,Yes,,,,,,,
LIFE'S CHOICES - KUTZTOWN,443 West Main Street,Kutztown,PA,19530,Care Net,http://lifeschoicessupport.org/,,,,,,,,
BETHANY CHRISTIAN SERVICES - LANCASTER,"1681 Crown Avenue, Suite #201",Lancaster,PA,17601,Heartbeat International,https://www.bethany.org/lancaster,Yes,,,,,,,
PREGNANCY RESOURCES AT CORNERSTONE - BRIDGEPORT,1865 Lincoln Highway E,Lancaster,PA,17602,,https://pregnancypennsylvania.com/,,,,,,,,
SUSQUEHANNA VALLEY PREGNANCY SERVICES - LANCASTER,408 West Chestnut Street,Lancaster,PA,17603,,http://www.svpspa.com/,,,,,,,,
SUSQUEHANNA VALLEY PREGNANCY SERVICES - WATER STREET,210 South Prince Street,Lancaster,PA,17603,,http://www.svpspa.com/,,,,,,,,
A WOMAN'S CONCERN,616 North Duke Street,Lancaster,PA,17602,Heartbeat International,https://pregnancylancaster.com/,Yes,https://www.facebook.com/WomansConcern,https://twitter.com/WomansConce,,,,https://www.instagram.com/WomansConcern/,
NORTH CARE WOMEN'S CLINIC,49 North Richardson Avenue,Lansdale,PA,19446,Heartbeat International,https://northcareclinic.org/,Yes,,,,,,,
LIFE-WAY PREGNANCY CENTER - MAIN,1516 Lagonier Street,Latrobe,PA,15650,Heartbeat International,http://www.decisionsforlife.org/,Yes,,,,,,,
SUSQUEHANNA VALLEY PREGNANCY CLINIC - LEBANON,132 South 8th Street,Lebanon,PA,17042,Care Net,http://www.svpspa.com/,,,,,,,,
CARE NET OF CARBON COUNTY,531 Mahoning Street,Lehighton,PA,18235,Care Net,http://CareNetcarbon.org/,,,,,,,,
MYCHOICEONE PREGNANCY + SEXUAL HEALTH RESOURCE CENTERS - LEVITTOWN,2222 Trenton Road,Levittown,PA,19056,Care Net,http://mychoiceone.info/,,,,,,,,
EXPECTATIONS WOMEN'S CENTER - LEWISBURG,"776 Bull Run Crossing, Suite #300",Lewisburg,PA,17837,Care Net,http://www.expectationswc.org/,,https://www.facebook.com/ExpectationsWC/,,,,,https://www.instagram.com/expectationswc/,
CROSSROADS PREGNANCY CENTER - LEWISTOWN,"1130 West 4th Street, Suite #1",Lewistown,PA,17044,Heartbeat International,http://www.crossroadspcs.org/,Yes,https://www.facebook.com/crossroadspregnancycenter/,,,,,,
PREGNANCY RESOURCES AT CORNERSTONE - LINCOLN UNIVERSITY,1570 Baltimore Pike,Lincoln University,PA,19352,,https://pregnancypennsylvania.com/,,,,,,,,
TRYLIFE CENTER,1155 Wildlife Lodge Road,Lower Burrell,PA,15068,Heartbeat International,http://trylife.center/,Yes,,,,,,,
PREGNANCY CENTER OF MEADVILLE,657 Pine Street,Meadville,PA,16335,Care Net,,,https://www.facebook.com/pregnancycenterofmeadville,,,,,,
MORNING STAR PREGNANCY SERVICES - MIDDLETOWN,35 South Union Street,Middletown,PA,17057,Heartbeat International,http://www.morningstarchoices.com/Home.aspx,Yes,,,,,,,
CROSSROADS PREGNANCY CENTER - MIFFLINTOWN,38 North Main Street,Mifflintown,PA,17059,Heartbeat International,http://www.crossroadspcs.org/,Yes,https://www.facebook.com/crossroadspregnancycenter/,,,,,,
TR-STATE PREGNANCY CENTER,"105 Wheatfield Drive, Suite #4",Milford,PA,18337,,http://www.tristatepregnancycenter.org/,,,,,,,,
LIFELINE PREGNANCY CARE CENTER,403 Union Street,Millersburg,PA,17061,Heartbeat International,http://lifeline-pcc.org/,Yes,,,,,,,
"HEARTBEAT COMMUNITY SERVICES, INC.",1 Greenwood St,Millerstown,PA,17062,,http://www.heartbeatcs.org/,,,,,,,,
SUSQUEHANNA VALLEY PREGNANCY SERVICES - MILLERSVILLE,121 North George Street,Millersville,PA,17551,,http://www.svpspa.com/,,,,,,,,
CHOICES PREGNANCY SERVICES - BEAVER VALLEY,110 Christy Drive,Monaca,PA,15061,Care Net,http://www.pregnancychoice.org/,,,,,,,,
NEW LIFE OPTIONS,308 Chess Street,Monongahela,PA,15063,Heartbeat International,http://www.newlifeoptions.net/,Yes,,,,,,,
WOMEN'S CHOICE NETWORK - MONROEVILLE,200 Mall Circle Drive,Monroeville,PA,15146,Care Net,http://imissedmyperiod.com/,,,,,,,,
CARE NET PREGNANCY CENTER OF NORTHEAST PENNSYLVANIA - MONTROSE,"498 South Main Street, Suite B",Montrose,PA,18801,Care Net,http://www.CareNetofnepa.org/,,,,,,,,
CROSSROADS PREGNANCY CENTER - MOUNT UNION,25 South Division Street,Mount Union,PA,17066,Heartbeat International,http://www.crossroadspcs.org/,Yes,https://www.facebook.com/crossroadspregnancycenter/,,,,,,
"YOUR LOVING CHOICES, INC. - HOPE CENTER OF NESCOPECK",650 Harter Avenue,Nescopeck,PA,18635,,http://www.yourlovingchoices.org/,,,,,,,,
"TOWER OF HOPE, INC. PREGNANCY AND FAMILY SUPPORT CENTER",315 8th Street,New Brighton,PA,15066,,,,,,,,,,
ALPHA OMEGA CENTER - NEW CASTLE,321 North Jefferson Street,New Castle,PA,16101,Care Net,https://www.alphaomegacenter.org/,,,,,,,,
MORNING STAR PREGNANCY SERVICES - NEW CUMBERLAND,503 Bridge Street,New Cumberland,PA,17070,Heartbeat International,http://www.morningstarchoices.com/Home.aspx,Yes,,,,,,,
PREGNANCY RESOURCES AT CORNERSTONE - PEACH BOTTOM,2292 Robert Fulton Highway,Peach Bottom,PA,17563,,https://pregnancypennsylvania.com/,,,,,,,,
ALPHACARE,3807 Lancaster Avenue,Philadelphia,PA,19104,Heartbeat International,http://alphapre.org/,Yes,,,,,,,
BIRTHRIGHT OF PHILADELPHIA,7986 Oxford Avenue,Philadelphia,PA,19111,Birthright International,http://birthright.org/en/landingpage/lp-philadelphia,,,,,,,,
"CHOICES, INC.",3526 Cottman Avenue,Philadelphia,PA,19149,,http://choicesinc.net/,,,,,,,,
HOPE PREGNANCY CENTER,716 North Broad Street,Philadelphia,PA,19130,Care Net,http://www.philadelphiapregnancy.org/,,,,,,,,
A BABY'S BREATH - PHOENIXVILLE,152 Church Street,Phoenixville,PA,19460,,http://www.ababysbreath.org/,,,,,,,,
ANGELS' PLACE - BROOKLINE,600 Fordham Avenue,Pittsburgh,PA,15226,,http://www.angelsplacepgh.org/,,https://www.facebook.com/angelsplacepgh/,,,,,https://www.instagram.com/angelsplacepgh/,
ANGELS' PLACE - NORTHSIDE,2615 Norwood Avenue,Pittsburgh,PA,15214,,http://www.angelsplacepgh.org/,,https://www.facebook.com/angelsplacepgh/,,,,,https://www.instagram.com/angelsplacepgh/,
ANGELS' PLACE - SWISSVALE,2538 Woodstock Avenue,Pittsburgh,PA,15218,,http://www.angelsplacepgh.org/,,https://www.facebook.com/angelsplacepgh/,,,,,https://www.instagram.com/angelsplacepgh/,
BIRTHRIGHT OF PITTSBURGH,"160 North Craig Street, Suite #200",Pittsburgh,PA,15213,Birthright International,http://birthrightpittsburgh.org/,,,,,,,,
CURA WOMEN'S CARE CLINIC - PITTSBURGH,101 Drake Road,Pittsburgh,PA,15241,,http://curawomens.clinic/pittsburgh/,,,,,,,,
EAST LIBERTY WOMEN'S CARE CENTER,114 N Highland Avenue,Pittsburgh,PA,15206,Heartbeat International,https://elwcc.org/,Yes,,,,,,,
LIFELINE OF SOUTHWESTERN PENNSYLVANIA - DOWNTOWN,239 4th Avenue,Pittsburgh,PA,15222,,http://www.lifelineofsouthwestpa.org/,,,,,,,,
WOMEN'S CHOICE NETWORK - NORTHSIDE,425 East Ohio Street,Pittsburgh,PA,15212,Care Net,http://imissedmyperiod.com/,,,,,,,,
WOMEN'S CHOICE NETWORK - OAKLAND,"160 North Craig Street, Suite #202",Pittsburgh,PA,15213,Care Net,http://imissedmyperiod.com/,,,,,,,,
BIRTHRIGHT OF POTTSTOWN,327 King Street,Pottstown,PA,19464,Birthright International,http://birthright.org/en/landingpage/lp-pottstown,,,,,,,,
GENESIS PREGNANCY CARE CENTER,888 East High Street,Pottstown,PA,19464,,http://www.genpcc.org/,,,,,,,,
REAL OPTIONS,171 Red Horse Road,Pottsville,PA,17901,Care Net,http://www.freepregnancyhelp.org/,,https://www.facebook.com/CarenetofSC/,https://twitter.com/carenetofschco,,,,,
CARE NET PREGNANCY CENTER OF SCHUYLKILL COUNTY,110 South Centre Street,Pottsville,PA,17901,Care Net,http://www.freepregnancyhelp.org/,,https://www.facebook.com/CarenetofSC/,https://twitter.com/carenetofschco,,,,,
WE CARE PREGNANCY CARE CENTER,131 West Mahoning Street,Punxsutawney,PA,15767,Heartbeat International,http://www.wecarepregnancy.com/,Yes,,,,,,,
CROSSROADS PREGNANCY CARE,256 Trumbauersville Road,Quakertown,PA,18951,Care Net,https://www.crossroadspregnancy.care/,,,,,,,,
MERCY COMMUNITY CRISIS PREGNANCY CENTER,105 South 5th Street,Reading,PA,19602,Care Net,http://www.mercypregnancycenter.org/,,,,,,,,
ENDLESS MOUNTAINS PREGNANCY CARE CENTER - SAYRE,209 West Lockhart Street,Sayre,PA,18840,Care Net,http://www.empccfree.com/,,https://www.facebook.com/Endless-Mountains-Pregnancy-Care-Center-174486129238734/,,,,,,
CARE NET PREGNANCY CENTER OF SCRANTON,415 Hickory Street,Scranton,PA,18505,Care Net,http://CareNetofscranton.com/,,https://www.facebook.com/carenetofscranton,,,,,,
PREGNANCY CARE CENTER OF SHAMOKIN,150 South Market Street,Shamokin,PA,17872,Care Net,http://www.shamokinpcc.org/,,https://www.facebook.com/Pregnancy-Care-Center-261625570637226/,,,,,,
"PREGNANCY MINISTRIES, INC. - SHIPPENSBURG",20 East Burd Street,Shippensburg,PA,17257,Care Net,http://pregnancyministries.org/,,https://www.facebook.com/pmipregnancycenter,,,,,,
ALPHA OMEGA CENTER - SLIPPERY ROCK,247 South Main Street,Slippery Rock,PA,16057,Care Net,https://www.alphaomegacenter.org/,,,,,,,,
BIRTHRIGHT OF SOMERSET,"238 West Union Street, Suite #208",Somerset,PA,15501,Birthright International,http://birthright.org/en/landingpage/lp-somerset,,,,,,,,
BETHANY CHRISTIAN SERVICES - STATE COLLEGE,"2147 East College Avenue, Suite A",State College,PA,16801,Heartbeat International,https://www.bethany.org/state-college,Yes,,,,,,,
PREGNANCY RESOURCE CLINIC,423 South Pugh Street,State College,PA,16801,Care Net,http://www.scprc.com/,,,,,,,,
PREGNANCY RESOURCE CENTER OF THE POCONOS,115 North 8th Street,Stroudsburg,PA,18360,Care Net,http://www.pregnancytalk.org/,,,,,,,,
BIRTHRIGHT OF SUNBURY,40 South 5th Street,Sunbury,PA,17801,Birthright International,http://www.birthrightofsunbury.com/,,,,,,,,
NEW LIFE CARE CENTER,107 West Spring Street,Titusville,PA,16354,,http://newlifecare.org/,,https://www.facebook.com/NewLifeCareCenter,,,,,,
ENDLESS MOUNTAINS PREGNANCY CARE CENTER - TOWANDA,3 State Street,Towanda,PA,18848,Care Net,http://www.empccfree.com/,,https://www.facebook.com/Endless-Mountains-Pregnancy-Care-Center-174486129238734/,,,,,,
WILLOW WOMEN'S CENTER,1291 Rutledge Road,Transfer,PA,16154,Heartbeat International,http://willowwomenscenter.com/,Yes,,,,,,,
CARE NET PREGNANCY CENTER OF NORTHEAST PENNSYLVANIA - TUNKHANNOCK,2 Church Street,Tunkhannock,PA,18657,Care Net,http://www.Care Netofnepa.org/,,,,,,,,
EVERY LIFE MATTERS PREGNANCY SUPPORT SERVICES,"221 Hospital Drive, Suite #5",Tyrone,PA,16686,Care Net,http://www.the-elm.org/,,,,,,,,
"WOMEN'S CARE SERVICES OF ERIE COUNTY, INC. - UNION CITY",13 North Main Street,Union City,PA,16438,Heartbeat International,http://www.wccerie.org/,Yes,,,,,,,
CENTER OF HOPE,338 West Main Street,Uniontown,PA,15401,Care Net,http://fayettecenterofhope.org/,,https://www.facebook.com/pages/Fayette-Center-of-Hope/379932215359270,,,,,,
CRISIS PREGNANCY CENTER OF GREENE COUNTY,52 West Franklin Street,Waynesburg,PA,15370,Heartbeat International,http://www.cpcwaynesburg.org/,Yes,,,,,,,
A BABY'S BREATH - WARMINSTER,65 West Street Road,Warminster,PA,18974,,http://www.ababysbreath.org/,,,,,,,,
PREGNANCY SUPPORT CENTER OF WARREN COUNTY,210 West 3rd Avenue,Warren,PA,16365,Heartbeat International,,Yes,,,,,,,
A BABY'S BREATH - WAYNE,"121 North Wayne Avenue, Suite #102",Wayne,PA,19087,,http://www.ababysbreath.org/,,,,,,,,
"PREGNANCY MINISTRIES, INC. - WAYNESBORO",220 South Potomac Street,Waynesboro,PA,17268,Care Net,http://pregnancyministries.org/,,https://www.facebook.com/pmipregnancycenter,,,,,,
CHESTER COUNTY WOMEN SERVICES - WEST CHESTER,27 South Church Street,West Chester,PA,19382,Heartbeat International,https://ccwsmedical.org/en/,Yes,,,,,,,
PREGNANCY RESOURCE CENTER OF GREATER HAZLETON,121 North Warren Street,West Hazleton,PA,18202,Care Net,http://www.freepregnancysupport.org/,,https://www.facebook.com/pmipregnancycenter,,,,,,
"LIFELINE OF BERKS COUNTY, INC. ",612 Reading Avenue,West Reading,PA,19611,Heartbeat International,http://www.lifelineofberks.org/,Yes,,,,,,,
BETHANY CHRISTIAN SERVICES - WEXFORD,"10521 Perry Highway, Suite #200",Wexford,PA,15090,,https://www.bethany.org/western-pennsylvania,,,,,,,,
WOMEN'S CHOICE NETWORK - WEXFORD,"12705 Perry Highway, Suite C",Wexford,PA,15090,Care Net,http://imissedmyperiod.com/,,,,,,,,
EXPECTATIONS WOMEN'S CENTER - WILLIAMSPORT,854 West 3rd Street,Williamsport,PA,17701,Care Net,http://www.expectationswc.org/,,https://www.facebook.com/ExpectationsWC/,,,,,https://www.instagram.com/expectationswc/,
MYCHOICEONE PREGNANCY + SEXUAL HEALTH RESOURCE CENTERS - WRIGHTSTOWN,2189 Second Street Pike,Wrightstown,PA,18940,,http://mychoiceone.info/,,,,,,,,
HUMAN LIFE SERVICES,742 South George Street,York,PA,17401,,http://www.humanlifeservices.org/,,,,,,,,
PREGNANCY & FAMILY RESOURCE CENTER - EAST,628 East Market Street,York,PA,17403,Heartbeat International,http://www.yorkpregnancycenter.com/,Yes,,,,,,,
PREGNANCY & FAMILY RESOURCE CENTER - WEST,1049 North Hartley Street,York,PA,17404,,http://www.yorkpregnancycenter.com/,,,,,,,,
CARE NET OF RHODE ISLAND,35 Greenwich Street,Providence,RI,2907,Care Net,https://www.CareNetri.com/,,,,,,,,
MOTHER OF LIFE CENTER,400 Atwells Avenue,Providence,RI,2909,,http://www.motheroflife.org/,,,,,,,,
BETHANY CHRISTIAN SERVICES - WARWICK,706 Warwick Avenue,Warwick,RI,2888,Heartbeat International,https://www.bethany.org/warwick,Yes,,,,,,,
DEBORAH K. FALLACARO PREGNANCY CENTER OF WESTERLY,111 High Street,Westerly,RI,2891,,https://immcon.org/pregnancy-center,,,,,,,,
LIFE CHOICES PREGNANCY CARE CENTER - AIKEN,1900 Whiskey Road,Aiken,SC,29803,Care Net,https://pregnancyaiken.com/,,,,,,,,
ANDERSON CARE PREGNANCY CLINIC,401 West Whitner Street,Anderson,SC,29624,Heartbeat International,http://www.andersonpregnancycare.org/,Yes,https://www.facebook.com/acpcbabies/,,,,,https://www.instagram.com/andersonpregnancycare/,
RADIANCE WOMEN'S CENTER,21 Marshellen Drive,Beaufort,SC,29902,Care Net,https://www.radiancewomenscenter.com/,,,,,,,,
LIFE CHOICES PREGNANCY CARE CENTER - BEECH ISLAND,4629 Jefferson Davis Highway,Beech Island,SC,29842,Care Net,https://pregnancyaiken.com/,,,,,,,,
MIDLAND WOMEN'S CENTER,510 Walnut Street,Camden,SC,29020,Care Net,http://www.midlandswomenscenter.com/,,,https://twitter.com/midlandswctr,,,,,
BIRTHRIGHT OF CHARLESTON,1365 Ashley River Road,Charleston,SC,29407,Birthright International,http://birthright.org/en/landingpage/lp-charleston,,,,,,,,
DAZZ - CHARLESTON,"1106 B St. Andrews Boulevard, Suite B",Charleston,SC,29407,Care Net,https://www.dazzcharleston.com/,,,,,,,,
BIRTHRIGHT OF CLEMSON,"105 Wall Street, Suite #4",Clemson,SC,29631,Birthright International,http://birthright.org/en/landingpage/lp-clemson,,,,,,,,
PALMETTO PREGNANCY CENTER - CLOVER,6393 Lake Wylie Road,Clover,SC,29710,Care Net,https://www.palmettopregnancycenter.com/,,,,,,,,
BIRTHRIGHT OF COLUMBIA,1405 Gregg Street,Columbia,SC,29201,Birthright International,http://birthright.org/en/landingpage/lp-columbiasc,,,,,,,,
DAYBREAK PREGNANCY CENTER,1601 St. Julian Place,Columbia,SC,29204,Care Net,http://www.daybreakpregnancy.com/,,,,,,,,
COASTLINE WOMEN'S CENTER,1607 9th Avenue,Conway,SC,29526,Heartbeat International,http://coastlinewomenscenter.org/,Yes,,,,,,,
HOPE WOMEN'S CENTER,879 Gentry Memorial Highway,Easley,SC,29641,Care Net,http://yourservant.com/hope/,,,,,,,,
A CHOICE 2 M8K CRISIS PREGNANCY CARE CENTER,1216 West Evans Street,Florence,SC,29501,Care Net,http://achoice2m8k.com/,,https://www.facebook.com/A-Choice-2-M8K-Crisis-Pregnancy-Care-Center-551301294884224/,,,,,,
PALMETTO PREGNANCY CENTER - FORT MILL,"575 Springcrest Drive, Suite B",Fort Mill,SC,29715,Care Net,https://www.palmettopregnancycenter.com/,,,,,,,,
OPTIONS MEDICAL CLINIC,1719 Old Georgia Highway,Gaffney,SC,29341,Care Net,http://www.optionsmedical.org/,,,,,,,,
BIRTHRIGHT OF GEORGETOWN,1905 Front Street,Georgetown,SC,29440,Birthright International,http://birthright.org/en/landingpage/lp-georgetown,,,,,,,,
BETHANY CHRISTIAN SERVICES - GREENVILLE,"114 Williams Street, Suite A",Greenville,SC,29601,Heartbeat International,https://www.bethany.org/greenville,Yes,,,,,,,
PIEDMONT WOMEN'S CENTER - GROVE ROAD,1146 Grove Road,Greenville,SC,29605,Care Net,http://piedmontwomenscenter.org/,,,,,,,,
CROSSROADS PREGNANCY CENTER,811-H Montague Avenue,Greenwood,SC,29649,,http://www.cpcsc.org/,,https://www.facebook.com/CrossRoadsPregnancyCenterSC,,,,,,
PIEDMONT WOMEN'S CENTER - GREER,100 Collins Drive,Greer,SC,29651,Care Net,http://piedmontwomenscenter.org/,,,,,,,,
CAROLINA FAMILY PLANNING CENTERS,500 West Carolina Avenue,Hartsville,SC,29720,Care Net,http://www.womensenrichmentcenter.com/,,https://www.facebook.com/weclancastersc/,https://twitter.com/hopeforwomensc,,,,,
PREGNANCY CENTER & CLINIC OF THE LOW COUNTRY,"1 Cardinal Road, Suites #1 & 2",Hilton Head,SC,29926,Heartbeat International,http://www.pregnancycenterhhi.org/,Yes,https://www.facebook.com/pages/Pregnancy-Center-Clinic-of-the-Low-Country/185231741518612,,,,,,
WOMEN'S ENRICHMENT CENTER,720 South Main Street,Lancaster,SC,29720,,http://www.womensenrichmentcenter.com/,,,,,,,,
BIRTHRIGHT OF GREENVILLE,110-F East Butler Road,Mauldin,SC,29662,Birthright International,http://birthright.org/en/landingpage/lp-greenville,,,,,,,,
LIFEBRIDGE OF SOUTH CAROLINA,1510 Main Street,Newberry,SC,29108,Care Net,http://www.lifebridgesouthcarolina.org/,,https://www.facebook.com/LifeBridgeClients/,,,https://www.youtube.com/channel/UC_AaQ2bwt2E2W1-fCDAtStg,,https://www.instagram.com/lbessentials/?hl=en,
LOWCOUNTRY PREGNANCY CENTER,"7481 Northside Drive, Suite B",North Charleston,SC,29420,Care Net,https://www.lpcfriends.com/,,,,,,,,
DAZZ - ORANGEBURG,923 Chestnut Street,Orangeburg,SC,29115,Care Net,https://www.dazzorangeburg.com/,,,,,,,,
PALMETTO PREGNANCY CENTER - ROCK HILL,828 Lucas Street,Rock Hill,SC,29730,Care Net,https://www.palmettopregnancycenter.com/,,https://www.facebook.com/palmettowomenscenter/reviews/?ref=page_internal,,,,,,
FOOTHILLS PREGNANCY CARE CENTER,207 Main Street,Seneca,SC,29678,Care Net,http://www.hopehealinghelp.net/,,,,,,,,
CAROLINA PREGNANCY CENTER,103 Metro Drive,Spartanburg,SC,29303,,http://carolinapregnancy.org/,,,,,,,,
THE ADVOCACY CENTER,190 South Lafayette Drive,Sumter,SC,29150,,http://www.sumteradvocacycenter.com/,,,,,,,,
